Vulnerabilities,links
 CVE-2024-26859 ,https://ubuntu.com/security/CVE-2024-26859
 CVE-2024-26944 ,https://ubuntu.com/security/CVE-2024-26944
 CVE-2024-27049 ,https://ubuntu.com/security/CVE-2024-27049
 CVE-2024-26868 ,https://ubuntu.com/security/CVE-2024-26868
 CVE-2024-26932 ,https://ubuntu.com/security/CVE-2024-26932
 CVE-2024-35843 ,https://ubuntu.com/security/CVE-2024-35843
 CVE-2024-35814 ,https://ubuntu.com/security/CVE-2024-35814
 CVE-2024-26866 ,https://ubuntu.com/security/CVE-2024-26866
 CVE-2024-26941 ,https://ubuntu.com/security/CVE-2024-26941
 CVE-2024-27080 ,https://ubuntu.com/security/CVE-2024-27080
 CVE-2024-26938 ,https://ubuntu.com/security/CVE-2024-26938
 CVE-2024-26889 ,https://ubuntu.com/security/CVE-2024-26889
 CVE-2024-27075 ,https://ubuntu.com/security/CVE-2024-27075
 CVE-2024-27077 ,https://ubuntu.com/security/CVE-2024-27077
 CVE-2024-26864 ,https://ubuntu.com/security/CVE-2024-26864
 CVE-2024-35787 ,https://ubuntu.com/security/CVE-2024-35787
 CVE-2024-27071 ,https://ubuntu.com/security/CVE-2024-27071
 CVE-2024-26880 ,https://ubuntu.com/security/CVE-2024-26880
 CVE-2024-26961 ,https://ubuntu.com/security/CVE-2024-26961
 CVE-2024-26945 ,https://ubuntu.com/security/CVE-2024-26945
 CVE-2024-26863 ,https://ubuntu.com/security/CVE-2024-26863
 CVE-2024-35795 ,https://ubuntu.com/security/CVE-2024-35795
 CVE-2024-27045 ,https://ubuntu.com/security/CVE-2024-27045
 CVE-2024-27066 ,https://ubuntu.com/security/CVE-2024-27066
 CVE-2024-27046 ,https://ubuntu.com/security/CVE-2024-27046
 CVE-2024-26816 ,https://ubuntu.com/security/CVE-2024-26816
 CVE-2024-27069 ,https://ubuntu.com/security/CVE-2024-27069
 CVE-2024-26861 ,https://ubuntu.com/security/CVE-2024-26861
 CVE-2024-26968 ,https://ubuntu.com/security/CVE-2024-26968
 CVE-2024-26963 ,https://ubuntu.com/security/CVE-2024-26963
 CVE-2024-26878 ,https://ubuntu.com/security/CVE-2024-26878
 CVE-2024-27073 ,https://ubuntu.com/security/CVE-2024-27073
 CVE-2024-35806 ,https://ubuntu.com/security/CVE-2024-35806
 CVE-2024-26951 ,https://ubuntu.com/security/CVE-2024-26951
 CVE-2024-26954 ,https://ubuntu.com/security/CVE-2024-26954
 CVE-2024-27026 ,https://ubuntu.com/security/CVE-2024-27026
 CVE-2024-26956 ,https://ubuntu.com/security/CVE-2024-26956
 CVE-2024-35811 ,https://ubuntu.com/security/CVE-2024-35811
 CVE-2024-35803 ,https://ubuntu.com/security/CVE-2024-35803
 CVE-2024-26964 ,https://ubuntu.com/security/CVE-2024-26964
 CVE-2024-26848 ,https://ubuntu.com/security/CVE-2024-26848
 CVE-2024-27434 ,https://ubuntu.com/security/CVE-2024-27434
 CVE-2024-35844 ,https://ubuntu.com/security/CVE-2024-35844
 CVE-2024-26977 ,https://ubuntu.com/security/CVE-2024-26977
 CVE-2024-27031 ,https://ubuntu.com/security/CVE-2024-27031
 CVE-2024-35813 ,https://ubuntu.com/security/CVE-2024-35813
 CVE-2024-26960 ,https://ubuntu.com/security/CVE-2024-26960
 CVE-2024-27067 ,https://ubuntu.com/security/CVE-2024-27067
 CVE-2024-26937 ,https://ubuntu.com/security/CVE-2024-26937
 CVE-2024-26884 ,https://ubuntu.com/security/CVE-2024-26884
 CVE-2024-26656 ,https://ubuntu.com/security/CVE-2024-26656
 CVE-2024-27068 ,https://ubuntu.com/security/CVE-2024-27068
 CVE-2024-26871 ,https://ubuntu.com/security/CVE-2024-26871
 CVE-2023-52653 ,https://ubuntu.com/security/CVE-2023-52653
 CVE-2024-26939 ,https://ubuntu.com/security/CVE-2024-26939
 CVE-2024-26967 ,https://ubuntu.com/security/CVE-2024-26967
 CVE-2024-26966 ,https://ubuntu.com/security/CVE-2024-26966
 CVE-2024-27043 ,https://ubuntu.com/security/CVE-2024-27043
 CVE-2024-26814 ,https://ubuntu.com/security/CVE-2024-26814
 CVE-2024-35829 ,https://ubuntu.com/security/CVE-2024-35829
 CVE-2024-26973 ,https://ubuntu.com/security/CVE-2024-26973
 CVE-2024-35810 ,https://ubuntu.com/security/CVE-2024-35810
 CVE-2024-26877 ,https://ubuntu.com/security/CVE-2024-26877
 CVE-2024-27392 ,https://ubuntu.com/security/CVE-2024-27392
 CVE-2024-35805 ,https://ubuntu.com/security/CVE-2024-35805
 CVE-2024-26875 ,https://ubuntu.com/security/CVE-2024-26875
 CVE-2024-26970 ,https://ubuntu.com/security/CVE-2024-26970
 CVE-2024-26657 ,https://ubuntu.com/security/CVE-2024-26657
 CVE-2024-26874 ,https://ubuntu.com/security/CVE-2024-26874
 CVE-2024-26971 ,https://ubuntu.com/security/CVE-2024-26971
 CVE-2024-26872 ,https://ubuntu.com/security/CVE-2024-26872
 CVE-2024-35798 ,https://ubuntu.com/security/CVE-2024-35798
 CVE-2024-26931 ,https://ubuntu.com/security/CVE-2024-26931
 CVE-2024-26948 ,https://ubuntu.com/security/CVE-2024-26948
 CVE-2024-26883 ,https://ubuntu.com/security/CVE-2024-26883
 CVE-2024-26955 ,https://ubuntu.com/security/CVE-2024-26955
 CVE-2024-27039 ,https://ubuntu.com/security/CVE-2024-27039
 CVE-2024-27038 ,https://ubuntu.com/security/CVE-2024-27038
 CVE-2024-27065 ,https://ubuntu.com/security/CVE-2024-27065
 CVE-2024-26899 ,https://ubuntu.com/security/CVE-2024-26899
 CVE-2024-27048 ,https://ubuntu.com/security/CVE-2024-27048
 CVE-2024-35874 ,https://ubuntu.com/security/CVE-2024-35874
 CVE-2024-35845 ,https://ubuntu.com/security/CVE-2024-35845
 CVE-2024-35799 ,https://ubuntu.com/security/CVE-2024-35799
 CVE-2024-35827 ,https://ubuntu.com/security/CVE-2024-35827
 CVE-2024-26935 ,https://ubuntu.com/security/CVE-2024-26935
 CVE-2024-27079 ,https://ubuntu.com/security/CVE-2024-27079
 CVE-2024-35821 ,https://ubuntu.com/security/CVE-2024-35821
 CVE-2024-26950 ,https://ubuntu.com/security/CVE-2024-26950
 CVE-2024-26879 ,https://ubuntu.com/security/CVE-2024-26879
 CVE-2024-26940 ,https://ubuntu.com/security/CVE-2024-26940
 CVE-2024-35788 ,https://ubuntu.com/security/CVE-2024-35788
 CVE-2024-26891 ,https://ubuntu.com/security/CVE-2024-26891
 CVE-2024-27063 ,https://ubuntu.com/security/CVE-2024-27063
 CVE-2024-27433 ,https://ubuntu.com/security/CVE-2024-27433
 CVE-2024-27036 ,https://ubuntu.com/security/CVE-2024-27036
 CVE-2024-35819 ,https://ubuntu.com/security/CVE-2024-35819
 CVE-2024-26969 ,https://ubuntu.com/security/CVE-2024-26969
 CVE-2024-27044 ,https://ubuntu.com/security/CVE-2024-27044
 CVE-2024-27028 ,https://ubuntu.com/security/CVE-2024-27028
 CVE-2024-27070 ,https://ubuntu.com/security/CVE-2024-27070
 CVE-2023-52649 ,https://ubuntu.com/security/CVE-2023-52649
 CVE-2024-27435 ,https://ubuntu.com/security/CVE-2024-27435
 CVE-2024-35830 ,https://ubuntu.com/security/CVE-2024-35830
 CVE-2024-26929 ,https://ubuntu.com/security/CVE-2024-26929
 CVE-2024-26653 ,https://ubuntu.com/security/CVE-2024-26653
 CVE-2024-26887 ,https://ubuntu.com/security/CVE-2024-26887
 CVE-2024-26869 ,https://ubuntu.com/security/CVE-2024-26869
 CVE-2024-26942 ,https://ubuntu.com/security/CVE-2024-26942
 CVE-2024-35822 ,https://ubuntu.com/security/CVE-2024-35822
 CVE-2024-26979 ,https://ubuntu.com/security/CVE-2024-26979
 CVE-2024-26881 ,https://ubuntu.com/security/CVE-2024-26881
 CVE-2024-26655 ,https://ubuntu.com/security/CVE-2024-26655
 CVE-2024-26975 ,https://ubuntu.com/security/CVE-2024-26975
 CVE-2023-52650 ,https://ubuntu.com/security/CVE-2023-52650
 CVE-2024-26651 ,https://ubuntu.com/security/CVE-2024-26651
 CVE-2024-35828 ,https://ubuntu.com/security/CVE-2024-35828
 CVE-2024-26965 ,https://ubuntu.com/security/CVE-2024-26965
 CVE-2024-27437 ,https://ubuntu.com/security/CVE-2024-27437
 CVE-2024-35794 ,https://ubuntu.com/security/CVE-2024-35794
 CVE-2024-26962 ,https://ubuntu.com/security/CVE-2024-26962
 CVE-2024-27058 ,https://ubuntu.com/security/CVE-2024-27058
 CVE-2024-27076 ,https://ubuntu.com/security/CVE-2024-27076
 CVE-2024-27035 ,https://ubuntu.com/security/CVE-2024-27035
 CVE-2024-27074 ,https://ubuntu.com/security/CVE-2024-27074
 CVE-2024-27027 ,https://ubuntu.com/security/CVE-2024-27027
 CVE-2024-26860 ,https://ubuntu.com/security/CVE-2024-26860
 CVE-2024-27042 ,https://ubuntu.com/security/CVE-2024-27042
 CVE-2024-27390 ,https://ubuntu.com/security/CVE-2024-27390
 CVE-2024-26815 ,https://ubuntu.com/security/CVE-2024-26815
 CVE-2023-52662 ,https://ubuntu.com/security/CVE-2023-52662
 CVE-2024-27051 ,https://ubuntu.com/security/CVE-2024-27051
 CVE-2024-35796 ,https://ubuntu.com/security/CVE-2024-35796
 CVE-2024-27047 ,https://ubuntu.com/security/CVE-2024-27047
 CVE-2024-26930 ,https://ubuntu.com/security/CVE-2024-26930
 CVE-2024-26865 ,https://ubuntu.com/security/CVE-2024-26865
 CVE-2024-27064 ,https://ubuntu.com/security/CVE-2024-27064
 CVE-2024-35826 ,https://ubuntu.com/security/CVE-2024-35826
 CVE-2024-26885 ,https://ubuntu.com/security/CVE-2024-26885
 CVE-2024-26873 ,https://ubuntu.com/security/CVE-2024-26873
 CVE-2024-26943 ,https://ubuntu.com/security/CVE-2024-26943
 CVE-2024-26893 ,https://ubuntu.com/security/CVE-2024-26893
 CVE-2024-27030 ,https://ubuntu.com/security/CVE-2024-27030
 CVE-2024-26976 ,https://ubuntu.com/security/CVE-2024-26976
 CVE-2024-35793 ,https://ubuntu.com/security/CVE-2024-35793
 CVE-2024-26952 ,https://ubuntu.com/security/CVE-2024-26952
 CVE-2023-52644 ,https://ubuntu.com/security/CVE-2023-52644
 CVE-2024-35797 ,https://ubuntu.com/security/CVE-2024-35797
 CVE-2024-27029 ,https://ubuntu.com/security/CVE-2024-27029
 CVE-2024-26927 ,https://ubuntu.com/security/CVE-2024-26927
 CVE-2024-26812 ,https://ubuntu.com/security/CVE-2024-26812
 CVE-2024-27432 ,https://ubuntu.com/security/CVE-2024-27432
 CVE-2024-26897 ,https://ubuntu.com/security/CVE-2024-26897
 CVE-2024-26890 ,https://ubuntu.com/security/CVE-2024-26890
 CVE-2024-26972 ,https://ubuntu.com/security/CVE-2024-26972
 CVE-2024-35800 ,https://ubuntu.com/security/CVE-2024-35800
 CVE-2024-27032 ,https://ubuntu.com/security/CVE-2024-27032
 CVE-2024-27052 ,https://ubuntu.com/security/CVE-2024-27052
 CVE-2023-52647 ,https://ubuntu.com/security/CVE-2023-52647
 CVE-2024-26898 ,https://ubuntu.com/security/CVE-2024-26898
 CVE-2023-52652 ,https://ubuntu.com/security/CVE-2023-52652
 CVE-2024-35808 ,https://ubuntu.com/security/CVE-2024-35808
 CVE-2024-26876 ,https://ubuntu.com/security/CVE-2024-26876
 CVE-2024-26933 ,https://ubuntu.com/security/CVE-2024-26933
 CVE-2024-26862 ,https://ubuntu.com/security/CVE-2024-26862
 CVE-2024-27033 ,https://ubuntu.com/security/CVE-2024-27033
 CVE-2023-52663 ,https://ubuntu.com/security/CVE-2023-52663
 CVE-2024-27041 ,https://ubuntu.com/security/CVE-2024-27041
 CVE-2023-52648 ,https://ubuntu.com/security/CVE-2023-52648
 CVE-2024-26888 ,https://ubuntu.com/security/CVE-2024-26888
 CVE-2024-26957 ,https://ubuntu.com/security/CVE-2024-26957
 CVE-2024-26953 ,https://ubuntu.com/security/CVE-2024-26953
 CVE-2023-52659 ,https://ubuntu.com/security/CVE-2023-52659
 CVE-2024-27436 ,https://ubuntu.com/security/CVE-2024-27436
 CVE-2024-27040 ,https://ubuntu.com/security/CVE-2024-27040
 CVE-2024-27054 ,https://ubuntu.com/security/CVE-2024-27054
 CVE-2024-27050 ,https://ubuntu.com/security/CVE-2024-27050
 CVE-2024-26886 ,https://ubuntu.com/security/CVE-2024-26886
 CVE-2023-52661 ,https://ubuntu.com/security/CVE-2023-52661
 CVE-2024-35831 ,https://ubuntu.com/security/CVE-2024-35831
 CVE-2024-26946 ,https://ubuntu.com/security/CVE-2024-26946
 CVE-2024-26949 ,https://ubuntu.com/security/CVE-2024-26949
 CVE-2024-26809 ,https://ubuntu.com/security/CVE-2024-26809
 CVE-2024-26892 ,https://ubuntu.com/security/CVE-2024-26892
 CVE-2024-26654 ,https://ubuntu.com/security/CVE-2024-26654
 CVE-2024-26901 ,https://ubuntu.com/security/CVE-2024-26901
 CVE-2024-27053 ,https://ubuntu.com/security/CVE-2024-27053
 CVE-2024-26882 ,https://ubuntu.com/security/CVE-2024-26882
 CVE-2024-35809 ,https://ubuntu.com/security/CVE-2024-35809
 CVE-2024-26978 ,https://ubuntu.com/security/CVE-2024-26978
 CVE-2024-27037 ,https://ubuntu.com/security/CVE-2024-27037
 CVE-2024-27391 ,https://ubuntu.com/security/CVE-2024-27391
 CVE-2024-27034 ,https://ubuntu.com/security/CVE-2024-27034
 CVE-2024-26895 ,https://ubuntu.com/security/CVE-2024-26895
 CVE-2024-35817 ,https://ubuntu.com/security/CVE-2024-35817
 CVE-2024-26900 ,https://ubuntu.com/security/CVE-2024-26900
 CVE-2024-26896 ,https://ubuntu.com/security/CVE-2024-26896
 CVE-2024-26958 ,https://ubuntu.com/security/CVE-2024-26958
 CVE-2024-35801 ,https://ubuntu.com/security/CVE-2024-35801
 CVE-2024-27388 ,https://ubuntu.com/security/CVE-2024-27388
 CVE-2024-26934 ,https://ubuntu.com/security/CVE-2024-26934
 CVE-2024-27078 ,https://ubuntu.com/security/CVE-2024-27078
 CVE-2024-35789 ,https://ubuntu.com/security/CVE-2024-35789
 CVE-2024-26894 ,https://ubuntu.com/security/CVE-2024-26894
 CVE-2024-27389 ,https://ubuntu.com/security/CVE-2024-27389
 CVE-2024-35807 ,https://ubuntu.com/security/CVE-2024-35807
 CVE-2024-27072 ,https://ubuntu.com/security/CVE-2024-27072
 CVE-2024-26947 ,https://ubuntu.com/security/CVE-2024-26947
 CVE-2024-26870 ,https://ubuntu.com/security/CVE-2024-26870
 CVE-2024-26813 ,https://ubuntu.com/security/CVE-2024-26813
 CVE-2022-48669 ,https://ubuntu.com/security/CVE-2022-48669
 CVE-2024-26959 ,https://ubuntu.com/security/CVE-2024-26959
 CVE-2024-26810 ,https://ubuntu.com/security/CVE-2024-26810
